n01440764	[tench],[Tinca tinca]
n03337140	[file],[file cabinet],[filing cabinet]【隊列】
n03344393	[fireboat]【消防艇】
n03345487	[fire engine],[fire truck]【消防車】
n03347037	[fire screen],[fireguard]
n03355925	[flagpole],[flagstaff]【旗竿】
n03372029	[flute],[transverse flute]【笛】
n03376595	[folding chair]【畳椅子】
n03379051	[football helmet]
n03384352	[forklift]【フォークリフト】
n03388043	[fountain]【泉水】
n03388183	[fountain pen]【羽】
n03388549	[four-poster]
n03393912	[freight car]【貨車】
n03394916	[French horn],[horn]【警笛】
n03400231	[frying pan],[frypan],[skillet]【焼鍋】
n03404251	[fur coat]【裘】
n03417042	[garbage truck],[dustcart]【集塵車】
n03424325	[gasmask],[respirator],[gas helmet]【防毒】
n03425413	[gas pump],[gasoline pump],[petrol pump],[island dispenser]【豪華】
n03443371	[goblet]【硝子】
n03444034	[go-kart]【ゴーカート】
n03445777	[golf ball]【ゴルフボール】
n03445924	[golfcart],[golf cart]【ゴルフカート】
n03447447	[gondola]【搬器】
n03447721	[gong],[tam-tam]【鰐口】
n03450230	[gown]【衣裳】
n03452741	[grand piano],[grand]【雄渾】
n03457902	[greenhouse],[nursery],[glasshouse]【養殖場】
n03459775	[grille],[radiator grille]【格子】
n03461385	[grocery store],[grocery],[food market],[market]【食料雑貨店】
n03467068	[guillotine]【首斬台】
n03476684	[hair slide]
n03476991	[hair spray]【ヘヤスプレー】
n03478589	[half track]
n03481172	[hammer]【鎚】
n03482405	[hamper]【鞄】
n03483316	[hand blower],[blow dryer],[blow drier],[hair dryer],[hair drier]【ヘアードライヤー】
n03485407	[hand-held computer],[hand-held microcomputer]【ハンドヘルドコンピューター】
n03485794	[handkerchief],[hankie],[hanky],[hankey]【鼻拭き】
n03492542	[hard disc],[hard disk],[fixed disk]【HD】
n03494278	[harmonica],[mouth organ],[harp],[mouth harp]【竪琴】
n03495258	[harp]【竪琴】
n03496892	[harvester],[reaper]【収穫器】
n03498962	[hatchet]【薪割り】
n03527444	[holster]【ホルスター】
n03529860	[home theater],[home theatre]
n03530642	[honeycomb]【蜂窩状】
n03532672	[hook],[claw]【餌】
n03534580	[hoopskirt],[crinoline]【クリノリン】
n03535780	[horizontal bar],[high bar]【鉄棒】
n03538406	[horse cart],[horse-cart]
n03544143	[hourglass]【アワーグラス】
n03584254	[iPod]【ｉＰｏｄ】
n03584829	[iron],[smoothing iron]【黒鉄】
n03590841	[jack-o'-lantern]【鬼火】
n03594734	[jean],[blue jean],[denim]【デニム】
n03594945	[jeep],[landrover]【ジープ】
n03595614	[jersey],[T-shirt],[tee shirt]【プルオーバー】
n03598930	[jigsaw puzzle]【パズル】
n03599486	[jinrikisha],[ricksha],[rickshaw]【豎子】
n03602883	[joystick]【操縦桿】
n03617480	[kimono]【角袖】
n03623198	[knee pad]
n03627232	[knot]【詰紐】
n03630383	[lab coat],[laboratory coat]
n03633091	[ladle]【蝌蚪】
n03637318	[lampshade],[lamp shade]【秉燭】
n03642806	[laptop],[laptop computer]【ラップトップパソコン】
n03649909	[lawn mower],[mower]【草刈り】
n03657121	[lens cap],[lens cover]
n03658185	[letter opener],[paper knife],[paperknife]【紙裁庖丁】
n03661043	[library]【蔵書】
n03662601	[lifeboat]【救船】
n03666591	[lighter],[light],[igniter],[ignitor]【鴻毛】
n03670208	[limousine],[limo]【リムジーン】
n03673027	[liner],[ocean liner]【通船】
n03676483	[lipstick],[lip rouge]【臙脂】
n03680355	[Loafer]【食い倒れ】
n03690938	[lotion]【洗薬】
n03691459	[loudspeaker],[speaker],[speaker unit],[loudspeaker system],[speaker system]【議長】
n03692522	[loupe],[jeweler's loupe]【拡大鏡】
n03697007	[lumbermill],[sawmill]【製材所】
n03706229	[magnetic compass]【磁石盤】
n03709823	[mailbag],[postbag]【郵袋】
n03710193	[mailbox],[letter box]【郵便箱】
n03710637	[maillot]
n03710721	[maillot],[tank suit]
n03717622	[manhole cover]【マンホールの蓋】
n03720891	[maraca]
n03721384	[marimba],[xylophone]【木琴】
n03724870	[mask]【面頬】
n03729826	[matchstick]【軸木】
n03733131	[maypole]【五月】
n03733281	[maze],[labyrinth]【迷路】
n03733805	[measuring cup]【メジャーカップ】
n03742115	[medicine chest],[medicine cabinet]【薬籠】
n03743016	[megalith],[megalithic structure]【巨石記念物】
n03759954	[microphone],[mike]【マイクロホン】
n03761084	[microwave],[microwave oven]【電子レンジ】
n03763968	[military uniform]【軍装】
n03764736	[milk can]
n03769881	[minibus]【ミニバス】
n03770439	[miniskirt],[mini]【ミニスカート】
n03770679	[minivan]【ワンボックスカー】
n03773504	[missile]【飛道具】
n03775071	[mitten]【ミトン】
n03775546	[mixing bowl]
n03776460	[mobile home],[manufactured home]【モービルホーム】
n03777568	[Model T]
n03777754	[modem]【変復調装置】
n03781244	[monastery]【道場】
n03782006	[monitor]【聴取】
n03785016	[moped]【原付き】
n03786901	[mortar]【迫撃砲】
n03787032	[mortarboard]【角帽】
n03788195	[mosque]【教会】
n03788365	[mosquito net]【蚊柱】
n03791053	[motor scooter],[scooter]【大正スケート】
n03792782	[mountain bike],[all-terrain bike],[off-roader]【マウンテンバイク】
n03792972	[mountain tent]
n03793489	[mouse],[computer mouse]【鼠】
n03794056	[mousetrap]【鼠落とし】
n03796401	[moving van]
n03803284	[muzzle]【鼻面】
n03804744	[nail]【釘付け】
n03814639	[neck brace]
n03814906	[necklace]【首飾り】
n03825788	[nipple]【乳首】
n03832673	[notebook],[notebook computer]【ノートパソコン】
n03837869	[obelisk]【高閣】
n03838899	[oboe],[hautboy],[hautbois]【オーボー】
n03840681	[ocarina],[sweet potato]【長薯】
n03841143	[odometer],[hodometer],[mileometer],[milometer]【輪程計】
n03843555	[oil filter]【油漉し】
n03854065	[organ],[pipe organ]【風琴】
n03857828	[oscilloscope],[scope],[cathode-ray oscilloscope],[CRO]【領域】
n03866082	[overskirt]
n03868242	[oxcart]【牛車】
n03868863	[oxygen mask]
n03871628	[packet]【通船】
n03873416	[paddle],[boat paddle]【舵】
n03874293	[paddlewheel],[paddle wheel]【車船】
n03874599	[padlock]【鍵】
n03876231	[paintbrush]【絵筆】
n03877472	[pajama],[pyjama],[pj's],[jammies]【寝間着】
n03877845	[palace]【館娃】
n03884397	[panpipe],[pandean pipe],[syrinx]【鳴管】
n03887697	[paper towel]【ペーパータオル】
n03888257	[parachute],[chute]【飛膜】
n03888605	[parallel bars],[bars]【格子】
n03891251	[park bench]【ろは台】
n03891332	[parking meter]【パーキングメーター】
n03895866	[passenger car],[coach],[carriage]【駕】
n03899768	[patio],[terrace]【石畳】
n03902125	[pay-phone],[pay-station]
n03903868	[pedestal],[plinth],[footstall]【鐙】
n03908618	[pencil box],[pencil case]【筆箱】
n03908714	[pencil sharpener]【鉛筆削り】
n03916031	[perfume],[essence]【骨髄】
n03920288	[Petri dish]【ペトリ皿】
n03924679	[photocopier]【謄写器】
n03929660	[pick],[plectrum],[plectron]【鶴嘴】
n03929855	[pickelhaube]
n03930313	[picket fence],[paling]【柵】
n03930630	[pickup],[pickup truck]【聴込み】
n03933933	[pier]【電池】
n03935335	[piggy bank],[penny bank]【貯金】
n03937543	[pill bottle]
n03938244	[pillow]【軸受け】
n03942813	[ping-pong ball]
n03944341	[pinwheel]【鼠花火】
n03947888	[pirate],[pirate ship]【賊船】
n03950228	[pitcher],[ewer]【鉢】
n03954731	[plane],[carpenter's plane],[woodworking plane]【飛行機】
n03956157	[planetarium]【星座投影機】
n03958227	[plastic bag]【ビニール袋】
n03961711	[plate rack]
n03967562	[plow],[plough]【鋤】
n03970156	[plunger],[plumber's helper]【ラバーカップ】
n03976467	[Polaroid camera],[Polaroid Land camera]【ポラロイドカメラ】
n03976657	[pole]【舵】
n03977966	[police van],[police wagon],[paddy wagon],[patrol wagon],[wagon],[black Maria]【駕】
n03980874	[poncho]【ポンチョ】
n03982430	[pool table],[billiard table],[snooker table]【ビリヤードテーブル】
n03983396	[pop bottle],[soda bottle]
n03991062	[pot],[flowerpot]【鍋】
n03992509	[potter's wheel]【轆轤】
n03995372	[power drill]【ドリル】
n03998194	[prayer rug],[prayer mat]
n04004767	[printer]【活版屋】
n04005630	[prison],[prison house]【鉄窓】
n04008634	[projectile],[missile]【飛道具】
n04009552	[projector]【映写機】
n04019541	[puck],[hockey puck]【パック】
n04023962	[punching bag],[punch bag],[punching ball],[punchball]【パンチボール】
n04026417	[purse]【鞄】
n04033901	[quill],[quill pen]【鵞ペン】
n04033995	[quilt],[comforter],[comfort],[puff]【首巻き】
n04037443	[racer],[race car],[racing car]【火玉】
n04039381	[racket],[racquet]【雑音】
n04040759	[radiator]【放熱器】
n04041544	[radio],[wireless]【無電】
n04044716	[radio telescope],[radio reflector]【電波望遠鏡】
n04049303	[rain barrel]【天水桶】
n04065272	[recreational vehicle],[RV],[R.V.]【レクリエーショナルビークル】
n04067472	[reel]【麻せ】
n04069434	[reflex camera]【二眼レフカメラ】
n04070727	[refrigerator],[icebox]【氷箱】
n04074963	[remote control],[remote]【遼遠】
n04081281	[restaurant],[eating house],[eating place],[eatery]【飲食店】
n04086273	[revolver],[six-gun],[six-shooter]【連発銃】
n04090263	[rifle]【飛び道具】
n04099969	[rocking chair],[rocker]【子守歌】
n04111531	[rotisserie]
n04116512	[rubber eraser],[rubber],[pencil eraser]【護謨】
n04118538	[rugby ball]
n04118776	[rule],[ruler]【領知】
n04120489	[running shoe]
n04125021	[safe]【金庫】
n04127249	[safety pin]【確か】
n04131690	[saltshaker],[salt shaker]【塩入れ】
n04133789	[sandal]【サンダル】
n04136333	[sarong]【サロン】
n04141076	[sax],[saxophone]【サックス】
n04141327	[scabbard]【鞘】
n04141975	[scale],[weighing machine]【鱗状】
n04146614	[school bus]【スクールバス】
n04147183	[schooner]【スクーネル】
n04149813	[scoreboard]【スコアボード】
n04152593	[screen],[CRT screen]【隔壁】
n04153751	[screw]【螺旋釘】
n04154565	[screwdriver]【螺旋抜き】
n04162706	[seat belt],[seatbelt]【安全ベルト】
n04179913	[sewing machine]【ミシン】
n04192698	[shield],[buckler]【防衛】
n04200800	[shoe shop],[shoe-shop],[shoe store]【靴屋】
n04201297	[shoji]【障子】
n04204238	[shopping basket]
n04204347	[shopping cart]【ショッピングカート】
n04208210	[shovel]【スコップ】
n04209133	[shower cap]
n04209239	[shower curtain]【シャワーカーテン】
n04228054	[ski]【スキーの板】
n04229816	[ski mask]【目出し帽】
n04235860	[sleeping bag]【寝袋】
n04238763	[slide rule],[slipstick]【計算尺】
n04239074	[sliding door]【雨戸】
n04243546	[slot],[one-armed bandit]【寸隙】
n04251144	[snorkel]【スノーケル】
n04252077	[snowmobile]【雪上車】
n04252225	[snowplow],[snowplough]【雪掻車】
n04254120	[soap dispenser]
n04254680	[soccer ball]【サッカーボール】
n04254777	[sock]【ソックス】
n04258138	[solar dish],[solar collector],[solar furnace]【太陽炉】
n04259630	[sombrero]【被り】
n04263257	[soup bowl]【汁椀】
n04264628	[space bar]【スペースバー】
n04265275	[space heater]【スペースヒーター】
n04266014	[space shuttle]【宇宙連絡船】
n04270147	[spatula]【篦】
n04273569	[speedboat]【レース艇】
n04275548	[spider web],[spider's web]【蜘蛛の巣】
n04277352	[spindle]【錘】
n04285008	[sports car],[sport car]【スポーツカー】
n04286575	[spotlight],[spot]【面灯火】
n04296562	[stage]【高座】
n04310018	[steam locomotive]【ＳＬ】
n04311004	[steel arch bridge]
n04311174	[steel drum]【スティールドラム】
n04317175	[stethoscope]【聴診器】
n04325704	[stole]【贏】
n04326547	[stone wall]【石崖】
n04328186	[stopwatch],[stop watch]【秒時計】
n04330267	[stove]【窯】
n04332243	[strainer]【裏漉し】
n04335435	[streetcar],[tram],[tramcar],[trolley],[trolley car]【電車】
n04336792	[stretcher]【釣台】
n04344873	[studio couch],[day bed]【デイベッド】
n04346328	[stupa],[tope]【率塔婆】
n04347754	[submarine],[pigboat],[sub],[U-boat]【潜艦】
n04350905	[suit],[suit of clothes]【願望】
n04355338	[sundial]【晷針】
n04355933	[sunglass]
n04356056	[sunglasses],[dark glasses],[shades]【黒眼鏡】
n04357314	[sunscreen],[sunblock],[sun blocker]【日覆い】
n04366367	[suspension bridge]【陸橋】
n04367480	[swab],[swob],[mop]【雑巾】
n04370456	[sweatshirt]【トレーナー】
n04371430	[swimming trunks],[bathing trunks]【海水着】
n04371774	[swing]【鞦韆】
n04372370	[switch],[electric switch],[electrical switch]【髢】
n04376876	[syringe]【洗瓶】
n04380533	[table lamp]
n04389033	[tank],[army tank],[armored combat vehicle],[armoured combat vehicle]【軍車】
n04392985	[tape player]【テーププレーヤー】
n04398044	[teapot]【茶瓶】
n04399382	[teddy],[teddy bear]【テディーベア】
n04404412	[television],[television system]【テレビシステム】
n04409515	[tennis ball]【テニスボール】
n04417672	[thatch],[thatched roof]【藁葺き】
n04418357	[theater curtain],[theatre curtain]
n04423845	[thimble]【指革】
n04428191	[thresher],[thrasher],[threshing machine]【麦扱き】
n04429376	[throne]【高御座】
n04435653	[tile roof]【瓦屋根】
n04442312	[toaster]【焙炉】
n04443257	[tobacco shop],[tobacconist shop],[tobacconist]【煙草屋】
n04447861	[toilet seat]【褻器】
n04456115	[torch]【続松】
n04458633	[totem pole]【トーテムポール】
n04461696	[tow truck],[tow car],[wrecker]【牽引車】
n04462240	[toyshop]【玩具屋】
n04465501	[tractor]【牽引車】
n04467665	[trailer truck],[tractor trailer],[trucking rig],[rig],[articulated lorry],[semi]【買占め】
n04476259	[tray]【高地】
n04479046	[trench coat]【レーンコート】
n04482393	[tricycle],[trike],[velocipede]【三輪車】
n04483307	[trimaran]【トリマラン】
n04485082	[tripod]【鼎足】
n04486054	[triumphal arch]【凱旋門】
n04487081	[trolleybus],[trolley coach],[trackless trolley]【トロリーバス】
n04487394	[trombone]【トロンボーン】
n04493381	[tub],[vat]【貯水池】
n04501370	[turnstile]
n04505470	[typewriter keyboard]
n04507155	[umbrella]【雨具】
n04509417	[unicycle],[monocycle]【一輪車】
n04515003	[upright],[upright piano]【鉛直】
n04517823	[vacuum],[vacuum cleaner]【電気掃除機】
n04522168	[vase]【萼】
n04523525	[vault]【骨堂】
n04525038	[velvet]【本天】
n04525305	[vending machine]【販売機】
n04532106	[vestment]【法衣】
n04532670	[viaduct]【陸橋】
n04536866	[violin],[fiddle]【鼓弓】
n04540053	[volleyball]【排球】
n04542943	[waffle iron]
n04548280	[wall clock]【柱時計】
n04548362	[wallet],[billfold],[notecase],[pocketbook]【鞄】
n04550184	[wardrobe],[closet],[press]【論壇】
n04552348	[warplane],[military plane]【軍用機】
n04553703	[washbasin],[handbasin],[washbowl],[lavabo],[wash-hand basin]【金盥】
n04554684	[washer],[automatic washer],[washing machine]【湯手】
n04557648	[water bottle]【水筒】
n04560804	[water jug]【点水】
n04562935	[water tower]【給水塔】
n04579145	[whiskey jug]
n04579432	[whistle]【遠吠え】
n04584207	[wig]【鬘】
n04589890	[window screen]
n04590129	[window shade]【日覆い】
n04591157	[Windsor tie]【ウィンザータイ】
n04591713	[wine bottle]
n04592741	[wing]【鏡の間】
n04596742	[wok]【中華鍋】
n04597913	[wooden spoon]【杓文字】
n04599235	[wool],[woolen],[woollen]【羊毛】
n04604644	[worm fence],[snake fence],[snake-rail fence],[Virginia fence]
n04606251	[wreck]【難船】
n04612504	[yawl]
n04613696	[yurt]【ユルト】
n06359193	[web site],[website],[internet site],[site]【部位】
n06596364	[comic book]【漫画雑誌】
n06785654	[crossword puzzle],[crossword]【クロスワードパズル】
n06794110	[street sign]
n06874185	[traffic light],[traffic signal],[stoplight]【赤信号】
n07248320	[book jacket],[dust cover],[dust jacket],[dust wrapper]【表紙カバー】
n07565083	[menu]【飯】
n07579787	[plate]【長押】
n07583066	[guacamole]【ワカモレ】
n07584110	[consomme]【コンソメ】
n07590611	[hot pot],[hotpot]【鍋物】
n07613480	[trifle]【鬼窟】
n07614500	[ice cream],[icecream]【氷菓】
n07615774	[ice lolly],[lolly],[lollipop],[popsicle]【飴ん棒】
n07684084	[French loaf]
n07693725	[bagel],[beigel]【ベーグル】
n07695742	[pretzel]【プレッツェル】
n07697313	[cheeseburger]【チーズバーガー】
n07697537	[hotdog],[hot dog],[red hot]【赤熱】
n07711569	[mashed potato]【マッシュポテト】
n07714571	[head cabbage]【キャベツ】
n07714990	[broccoli]【ブロッコリー】
n07715103	[cauliflower]【花野菜】
n07716358	[zucchini],[courgette]【ズッキーニ】
n07716906	[spaghetti squash]
n07717410	[acorn squash]
n07717556	[butternut squash]
n07718472	[cucumber],[cuke]【黄瓜】
n07718747	[artichoke],[globe artichoke]【薊】
n07720875	[bell pepper]【ピーマン】
n07730033	[cardoon]
n07734744	[mushroom]【菌】
n07742313	[Granny Smith]
n07745940	[strawberry]【阿蘭陀苺】
n07747607	[orange]【紅蜜柑】
n07749582	[lemon]【淡黄色】
n07753113	[fig]【無花果状果】
n07753275	[pineapple],[ananas]【鳳梨】
n07753592	[banana]【姫芭蕉】
n07754684	[jackfruit],[jak],[jack]【波羅蜜】
n07760859	[custard apple]【ポポー】
n07768694	[pomegranate]【石榴】
n07802026	[hay]【馬草】
n07831146	[carbonara]【カルボナーラ】
n07836838	[chocolate sauce],[chocolate syrup]
n07860988	[dough]【貼付け】
n07871810	[meat loaf],[meatloaf]【ミートローフ】
n07873807	[pizza],[pizza pie]【ピッツア】
n07875152	[potpie]【ポットパイ】
n07880968	[burrito]
n07892512	[red wine]【赤面】
n07920052	[espresso]【カフェエスプレッソ】
n07930864	[cup]【酒盃】
n07932039	[eggnog]【玉子酒】
n09193705	[alp]【高峰】
n09229709	[bubble]【泡沫】
n09246464	[cliff],[drop],[drop-off]【雫】
n09256479	[coral reef]【珊瑚礁】
n09288635	[geyser]【間歇泉】
n09332890	[lakeside],[lakeshore]【湖畔】
n09399592	[promontory],[headland],[head],[foreland]【魁首】
n09421951	[sandbar],[sand bar]【砂洲】
n09428293	[seashore],[coast],[seacoast],[sea-coast]【臨海】
n09468604	[valley],[vale]【陰】
n09472597	[volcano]【火山】
n09835506	[ballplayer],[baseball player]【野球選手】
n10148035	[groom],[bridegroom]【馬手】
n10565667	[scuba diver]
n11879895	[rapeseed]【菜種】
n11939491	[daisy]【雛菊】
n12057211	[yellow lady's slipper],[yellow lady-slipper],[Cypripedium calceolus],[Cypripedium parviflorum]
n12144580	[corn]【鶏眼】
n12267677	[acorn]【橡栗】
n12620546	[hip],[rose hip],[rosehip]【隅棟】
n12768682	[buckeye],[horse chestnut],[conker]【西洋橡の木】
n12985857	[coral fungus]
n12998815	[agaric]
n13037406	[gyromitra]
n13040303	[stinkhorn],[carrion fungus]【スッポンタケ】
n13044778	[earthstar]【土栗】
n13052670	[hen-of-the-woods],[hen of the woods],[Polyporus frondosus],[Grifola frondosa]【マイタケ】
n13054560	[bolete]
n13133613	[ear],[spike],[capitulum]【頭花】
n15075141	[toilet tissue],[toilet paper],[bathroom tissue]【落紙】
